result_04,team_04,name_04,position_04,champion_id_04,kda_04,kill_influence_04,id,result_05,team_05,name_05,position_05,champion_id_05,kda_05,kill_influence_05,result_14,team_14,name_14,position_14,champion_id_14,kda_14,kill_influence_14,result_15,team_15,name_15,position_15,champion_id_15,kda_15,kill_influence_15
0,0,haoyunpupu,4,29,9.0,0.17,4593,0,0,nfangz mimei,5,711,1.67,0.17,1,1,wkeitj,4,429,1.75,0.41,1,1,BRO Pollu,5,888,0.8,0.41
0,0,haoyunpupu,4,202,14.0,0.35,4594,0,0,Lotsoo,5,43,5.0,0.35,1,1,Deft DK,4,51,2.33,0.4,1,1,BRO Pollu,5,99,3.5,0.4
0,0,wkeitj,4,81,11.0,0.2,4595,0,0,ninth palace,5,432,2.0,0.2,1,1,haoyunpupu,4,29,3.55,0.96,1,1,BRO Pollu,5,526,6.0,0.96
0,0,리현차단좀풀어줘,4,29,1.44,0.68,4596,0,0,IlIlIlIIlllllIII,5,53,2.58,0.68,1,1,두 번째 화살,4,51,1.25,0.47,1,1,1 LV ALL IN,5,16,11.5,0.47
0,0,Smoky Girl,4,145,3.43,0.64,4597,0,0,Lotsoo,5,12,1.8,0.64,1,1,iins,4,498,9.0,0.75,1,1,Kim Sang Hoon,5,526,2.25,0.75
1,0,Rin Itoshi,4,145,1.75,0.24,4600,1,0,날개 크리보Lv1,5,555,5.75,0.24,0,1,맥시피언,4,81,10.4,0.55,0,1,리퀴드 코어장전,5,432,15.0,0.55
0,0,T1 Smash1,4,429,5.0,0.57,4601,0,0,댕청잇,5,888,1.79,0.57,1,1,이성조,4,145,4.56,0.56,1,1,역천괴,5,526,2.5,0.56
0,0,T1 Smash1,4,221,7.0,0.39,4602,0,0,Hoxpi,5,497,4.2,0.39,1,1,이성조,4,429,1.5,0.99,1,1,Miйous,5,111,1.67,0.99
1,0,Rin Itoshi,4,523,1.75,0.37,4605,1,0,정훈이의 모험,5,412,25.0,0.37,0,1,weioai,4,145,0.67,0.4,0,1,Mengqiuqiu,5,526,6.0,0.4
0,0,Chang Min ,4,69,1.0,0.08,4606,0,0,TraytoN,5,432,3.0,0.08,1,1,laizidiyu,4,15,4.0,0.2,1,1,G2 Smoker,5,37,1.0,0.2
1,0,aaaddddd,4,221,3.0,0.65,4607,1,0,상처꽃,5,526,6.25,0.65,0,1,블루리쉬잘해요,4,15,1.67,0.27,0,1,Let me sup,5,432,0.87,0.27
0,0,BRO Enosh,4,498,3.67,0.44,4610,0,0,cuicuishu,5,12,12.5,0.44,1,1,NS Jiwoo,4,145,2.14,0.48,1,1,BRO Pollu,5,526,0.38,0.48
1,0,haoyunpupu,4,15,2.8,0.63,4611,1,0,locn,5,497,1.25,0.63,0,1,wkeitj,4,895,2.4,0.23,0,1,우승을 차지하다,5,12,5.0,0.23
0,0,KT Way,4,429,3.0,0.79,4613,0,0,광동귀환,5,526,1.33,0.79,1,1,T1 Smash1,4,498,3.4,0.52,1,1,댕청잇,5,497,6.0,0.52
1,0,hitomibore,4,22,7.0,0.16,4615,1,0,LEC Tourist,5,101,1.5,0.16,0,1,R4eZ2z,4,51,5.0,0.92,0,1,Harambe,5,432,1.1,0.92
0,0,cclomang,4,202,1.5,0.2,4616,0,0,quanliyifu,5,518,3.5,0.2,1,1,역경지수가높다,4,81,12.0,0.35,1,1,1 LV ALL IN,5,16,2.5,0.35
0,0,pasts,4,498,4.67,0.29,4617,0,0,quanliyifu,5,518,1.67,0.29,1,1,무사 비행wxy,4,145,1.25,0.27,1,1,Let me sup,5,526,1.0,0.27
0,0,BRO DDoiV,4,81,0.89,0.47,4619,0,0,iins,5,29,1.33,0.47,1,1,최악의 원딜,4,51,2.75,0.17,1,1,afreeca 김태연 ,5,497,6.0,0.17
0,0,상식적으로,4,145,11.0,0.72,4620,0,0,자신감을잃지말자,5,111,1.83,0.72,1,1,Bba,4,498,2.0,0.63,1,1,xiao ting bao 3,5,526,2.0,0.63
0,0,오징오뀨,4,221,2.17,0.84,4621,0,0,chainasawman,5,526,11.0,0.84,1,1,이성조,4,145,1.75,1.0,1,1,qsadaeasdz,5,497,1.0,1.0
0,0,이젠 안 믿어,4,145,14.0,0.4,4623,0,0,리퀴드 코어장전,5,497,2.0,0.4,1,1,HLE Pyeonsik,4,236,4.67,0.67,1,1,Miйous,5,267,6.0,0.67
1,0,창원 대학병원,4,145,5.0,0.17,4624,1,0,Dragon God King,5,142,3.0,0.17,0,1,qsadaeasdz,4,110,16.0,0.59,0,1,quanliyifu,5,518,16.0,0.59
1,0,협곡최약미드필더,4,81,3.33,0.61,4625,1,0,2 C U Again,5,432,7.5,0.61,0,1,quanliyifu,4,221,2.0,0.49,0,1,리퀴드 코어장전,5,497,4.0,0.49
1,0,HLE Pooh,4,498,15.0,0.57,4632,1,0,wutiaowu,5,497,26.0,0.57,0,1,전설이 될 남자,4,81,4.25,0.19,0,1,gxh3,5,12,1.0,0.19
1,0,커피마시지말자,4,222,1.6,0.81,4633,1,0,HLE Pooh,5,117,4.5,0.81,0,1,NS OddEye,4,235,7.0,0.91,0,1,MALlCE,5,12,0.0,0.91
1,0,suuzy,4,222,5.25,0.4,4635,1,0,Deer3,5,526,2.62,0.4,0,1,이브처럼,4,429,2.29,0.44,0,1,720Cloud,5,12,2.29,0.44
1,0,apnea attack,4,51,3.43,0.75,4637,1,0,원챔유저세나,5,235,3.24,0.75,0,1,강서구 개껌도둑,4,222,1.36,0.92,0,1,조금늦은나이,5,555,4.17,0.92
0,0,SmokinWithMyZaza,4,81,6.45,0.71,4639,0,0,침착한 대처,5,111,0.62,0.71,1,1,cage me,4,67,1.17,0.52,1,1,범사섭수관용,5,44,3.4,0.52
0,0,과인이 두려운가,4,429,0.25,0.19,4641,0,0,Deer3,5,111,0.5,0.19,1,1,hayunpupu,4,80,4.0,0.31,1,1,Eren was here,5,235,6.0,0.31
0,0,도 태,4,81,3.88,0.96,4643,0,0,Wanna win 01,5,79,3.75,0.96,1,1,iosabdiusabid,4,115,3.8,0.37,1,1,TraytoN,5,12,0.5,0.37
1,0,눈 속이기,4,110,12.0,0.99,4644,1,0,maruuuuuu,5,12,1.59,0.99,0,1,zxzxyxyxyzxyy,4,429,6.0,0.71,0,1,칼과 시계,5,26,1.17,0.71
1,0,소년가장 원딜,4,51,3.67,0.71,4647,1,0,Ego BattIe,5,12,3.52,0.71,0,1,에이 R 티,4,202,2.17,0.53,0,1,Let me sup,5,53,2.43,0.53
0,0,천 원 제,4,498,24.0,0.59,4648,0,0,커피마시지말자,5,902,2.4,0.59,1,1,apex1v1solo,4,221,2.2,0.29,1,1,좋은개미 ,5,89,3.4,0.29
1,0,창원 대학병원,4,81,2.86,0.64,4651,1,0,godeppin,5,12,1.0,0.64,0,1,Rose bloomforyou,4,15,1.0,0.39,0,1,kk2dd,5,74,21.0,0.39
0,0,피곤한 탕수육,4,145,0.86,0.52,4653,0,0,대야웰백,5,12,1.25,0.52,1,1,탕볶밥에반했다,4,523,0.5,0.73,1,1,             f z,5,497,9.5,0.73
1,0,Bba,4,15,2.17,0.59,4654,1,0,러 러,5,432,8.5,0.59,0,1,RADAR1,4,145,1.5,0.85,0,1,cure heart,5,875,8.5,0.85
0,0,결 혼,4,429,1.14,0.47,4656,0,0,Twitch 전이콜,5,3,1.33,0.47,1,1,오징오뀨,4,81,4.33,0.65,1,1,swordart7,5,12,2.36,0.65
0,0,김명인,4,202,7.0,0.41,4657,0,0,평범한 수험생,5,518,1.44,0.41,1,1,ToongE,4,429,10.5,0.99,1,1,T1JaceylovEUzi신,5,526,4.57,0.99
0,0,arrowIoI,4,115,1.17,0.47,4658,0,0,Lotsoo,5,235,4.8,0.47,1,1,OIO62O54O6O,4,81,2.14,0.43,1,1,Jug look top plz,5,350,2.57,0.43
0,0,오징오뀨,4,51,3.0,0.47,4665,0,0,Ego BattIe,5,518,1.5,0.47,1,1,mubiao,4,21,1.0,0.83,1,1,동글동글빵빵,5,497,14.0,0.83
1,0,XDXDMYBAD,4,523,7.0,0.59,4666,1,0,갈과 배 음료,5,33,1.24,0.59,0,1,iins,4,222,1.0,0.6,0,1,렝가레넥톤볼베,5,117,0.6,0.6
1,0,Bad End,4,119,7.5,0.76,4669,1,0,역천괴,5,555,5.0,0.76,0,1,전시우 07,4,81,5.6,0.57,0,1,청출어람3,5,89,1.5,0.57
0,0,C9 Berserker,4,895,0.38,0.99,4670,0,0,viper3,5,350,1.79,0.99,1,1,haoyunpupu,4,429,1.43,0.19,1,1,city walk1,5,888,1.0,0.19
1,0,city walk1,4,145,7.0,0.85,4671,1,0,Shadow Nia,5,526,7.0,0.85,0,1,Noob piss off,4,221,0.0,0.29,0,1,동냥아치,5,12,1.0,0.29
0,0,NS OddEye,4,895,0.0,0.41,4672,0,0,C9 ZVENN,5,497,20.0,0.41,1,1,미소 엄마3,4,145,9.0,0.24,1,1,fogao 4 boca,5,12,3.2,0.24
0,0,city walk1,4,523,1.2,0.19,4674,0,0,Life1,5,111,6.0,0.19,1,1,Like 1999,4,110,2.33,0.47,1,1,lbd3,5,875,1.8,0.47
1,0,아프리카 러밀,4,145,4.0,0.79,4675,1,0,시작시작시작,5,53,1.6,0.79,0,1,Ego Battle,4,15,1.6,0.36,0,1,swordart7,5,111,2.5,0.36
1,0,KDF 태윤,4,145,1.78,0.64,4677,1,0,na ge nan ren,5,12,1.29,0.64,0,1,C9 Berserker,4,429,3.0,0.75,0,1,Nostalgic memory,5,111,3.33,0.75
1,0,qi9zkqi,4,429,1.2,0.68,4680,1,0,ArtistDay,5,555,0.94,0.68,0,1,Miryang ad,4,22,0.43,0.37,0,1,Welpenliebe,5,12,6.33,0.37
0,0,Lonelypatients,4,145,0.75,0.79,4681,0,0,Mengqiuqiu,5,526,0.81,0.79,1,1,daoxinsomok1ng,4,498,17.0,0.23,1,1,커피마시지말자,5,497,0.25,0.23
1,0,qsadaeasdz,4,110,3.5,0.36,4682,1,0,mv6,5,888,1.67,0.36,0,1,방패류만 해요,4,145,1.86,0.44,0,1,일상생활계정,5,53,3.5,0.44
1,0,천산절매손,4,15,3.79,0.91,4683,1,0,일상생활계정,5,201,9.5,0.91,0,1,white Picture,4,236,1.71,0.56,0,1,vksiwapcamaw,5,12,1.71,0.56
0,0,Xianghanzhi1,4,895,0.4,0.21,4684,0,0,벼릉아,5,111,3.33,0.21,1,1,xierr,4,119,7.14,0.37,1,1,원딜만의 윤서,5,117,0.6,0.37
1,0,소년가장 원딜,4,145,4.0,0.52,4686,1,0,daoxinsomoking,5,53,3.4,0.52,0,1,비아비아 ,4,236,4.15,0.72,0,1,arrowIoI,5,43,3.0,0.72
1,0,소년가장 원딜,4,81,1.5,0.56,4687,1,0,JeongHoon Lee,5,518,7.0,0.56,0,1,Ego Battle,4,498,0.86,0.28,0,1,xi1,5,53,1.0,0.28
1,0,소년가장 원딜,4,119,2.04,0.37,4689,1,0,먹고살게해주세요,5,555,1.75,0.37,0,1,gweqoiuj,4,360,2.25,0.53,0,1,20chuan dou pi,5,12,4.67,0.53
0,0,wkeitj,4,236,3.0,0.39,4690,0,0,학교 공포증,5,201,0.67,0.39,1,1,소년가장 원딜,4,145,0.88,0.28,1,1,Khae1,5,53,6.0,0.28
1,0,HLE Pyeonsik,4,360,1.0,0.4,4691,1,0,T1JaceylovEUzi신,5,3,4.11,0.4,0,1,전설이 될 남자,4,236,11.0,0.31,0,1,소년가장 원딜,5,12,1.0,0.31
1,0,Lactea Rx,4,22,1.0,0.49,4694,1,0,Eren was here,5,201,4.33,0.49,0,1,Iyana Saru domo,4,222,1.0,0.93,0,1,sssh3,5,53,1.29,0.93
1,0,Lactea Rx,4,51,4.5,0.25,4695,1,0,Envywhy,5,43,7.5,0.25,0,1,Chemical Cookie,4,222,18.0,0.73,0,1,화참기챔피언,5,412,0.97,0.73
1,0,붓 기,4,895,3.0,0.52,4696,1,0,Jungle Hard,5,80,0.0,0.52,0,1,Lactea Rx,4,236,4.67,0.24,0,1,happy lu1u,5,117,18.0,0.24
1,0,CrazyCat33,4,119,6.33,0.28,4697,1,0,Like 1999,5,12,0.83,0.28,0,1,Lactea Rx,4,18,0.71,0.71,0,1,T1JaceylovEUzi신,5,526,0.53,0.71
1,0,너떳어임마,4,895,4.8,0.23,4698,1,0,xiangzuohao,5,497,2.0,0.23,0,1,교수트타,4,18,7.0,0.72,0,1,Lactea Rx,5,526,2.57,0.72
1,0,20040816,4,236,6.5,0.85,4699,1,0,Lactea Rx,5,497,2.6,0.85,0,1,교수트타,4,18,9.5,0.71,0,1,완 조,5,53,1.0,0.71
0,0,zyjttkx,4,429,9.33,0.71,4700,0,0,Lactea Rx,5,526,2.33,0.71,1,1,최강 고세구1,4,236,2.34,0.48,1,1,NameIessMid,5,12,2.2,0.48
1,0,wkeitj,4,202,4.18,0.75,4701,1,0,T1JaceylovEUzi신,5,526,2.71,0.75,0,1,Lactea Rx,4,51,1.09,0.85,0,1,줘패놓기전에 눈 깔고다녀라,5,12,2.25,0.85
1,0,시리안 fan,4,15,6.5,0.44,4704,1,0,원딜주면후회안함,5,235,8.0,0.44,0,1,Why 4lways me,4,202,2.2,0.65,0,1,멘탈좋은트라이,5,143,5.7,0.65
0,0,Lactea Rx,4,115,1.86,0.61,4705,0,0,너는 날 신경안써,5,43,1.07,0.61,1,1,요리조리요리조리,4,222,4.93,0.72,1,1,Rui1,5,412,3.0,0.72
1,0,Lactea Rx,4,115,3.83,0.76,4706,1,0,MID 직스,5,57,1.89,0.76,0,1,li bu cong xin,4,202,2.0,0.67,0,1,허사피피,5,518,1.33,0.67
1,0,냐미공듀,4,202,0.33,0.11,4707,1,0,lbd3,5,12,2.0,0.11,0,1,Twitch TV 조관우,4,69,1.0,0.59,0,1,Lactea Rx,5,526,11.0,0.59
0,0,Gen G Ruler,4,498,1.5,0.81,4711,0,0,델리델리델리빵,5,497,1.0,0.81,1,1,godeppin,4,145,7.0,0.24,1,1,서폿챔추천좀,5,555,7.67,0.24
1,0,미소 엄마3,4,498,5.46,0.57,4713,1,0,청출어람3,5,497,0.5,0.57,0,1,DWG Ghost,4,145,1.33,0.35,0,1,godeppin,5,526,4.25,0.35
1,0,hbzb,4,145,2.17,0.32,4714,1,0,godeppin,5,555,0.43,0.32,0,1,오징오뀨,4,51,5.5,0.95,0,1,TraytoN,5,432,5.19,0.95
1,0,city walk1,4,67,0.67,0.09,4715,1,0,유틸만하는계정,5,526,0.0,0.09,0,1,Pobelter7,4,134,11.0,0.25,0,1,gjgj,5,497,4.0,0.25
1,0,ding ji AD,4,18,1.71,0.29,4716,1,0,유틸만하는계정,5,497,1.67,0.29,0,1,카와이 뽀시,4,145,0.42,0.43,0,1,ninth palace,5,12,10.0,0.43
0,0,바지를 벗어,4,221,1.0,0.13,4717,0,0,ding ji AD,5,235,2.5,0.13,1,1,hei si yyds,4,145,1.2,0.92,1,1,유틸만하는계정,5,497,4.6,0.92
0,0,hei si yyds,4,360,5.2,0.35,4718,0,0,청출어람3,5,111,8.5,0.35,1,1,n1u123,4,29,1.12,0.55,1,1,유틸만하는계정,5,497,6.45,0.55
1,0,역경지수가높다,4,221,14.0,0.13,4720,1,0,긴장해라케리아,5,53,0.0,0.13,0,1,haoyunpupu,4,429,3.0,0.23,0,1,유틸만하는계정,5,888,11.0,0.23
1,0,유틸만하는계정,4,223,1.0,0.69,4721,1,0,qsadaeasdz,5,235,5.0,0.69,0,1,상식적으로,4,145,0.33,0.35,0,1,fogao 4 boca,5,497,1.8,0.35
0,0,BRO Enosh,4,498,3.42,0.99,4722,0,0,유틸만하는계정,5,497,3.0,0.99,1,1,ADC0315,4,145,2.5,0.57,1,1,xiao ting bao 3,5,526,2.11,0.57
1,0,무사 비행wxy,4,221,2.29,0.41,4724,1,0,유틸만하는계정,5,57,3.0,0.41,0,1,남지패기,4,498,3.43,0.44,0,1,mini donut,5,111,1.6,0.44
1,0,Noob piss off,4,110,2.12,0.57,4725,1,0,locn,5,12,2.14,0.57,0,1,DK Lucid,4,221,7.33,0.49,0,1,유틸만하는계정,5,117,4.8,0.49
1,0,Chu성훈,4,81,0.36,0.91,4727,1,0,유틸만하는계정,5,201,11.22,0.91,0,1,김빵덕1,4,145,0.71,0.41,0,1,xiao ting bao 3,5,526,14.0,0.41
0,0,Bba,4,145,1.0,0.36,4728,0,0,델리델리델리빵,5,12,12.0,0.36,1,1,ADC0419,4,221,0.33,0.67,1,1,유틸만하는계정,5,57,4.33,0.67
1,0,빙고당신은틀렸어,4,202,1.0,0.29,4729,1,0,유틸만하는계정,5,497,6.5,0.29,0,1,내 채팅용,4,555,8.0,0.37,0,1,제주사는치매청년,5,235,0.11,0.37
1,0,KT Way1,4,145,2.17,0.37,4730,1,0,Shmi7y,5,235,10.0,0.37,0,1,티라노 크앙크앙,4,15,1.6,0.23,0,1,AfreecaTv 춘수,5,26,2.2,0.23
0,0,과인이 두려운가,4,429,5.0,0.29,4731,0,0,hyena06,5,111,0.33,0.29,1,1,KT Way1,4,145,4.94,0.56,1,1,Shmi7y,5,12,17.0,0.56
1,0,xiangchu1,4,145,3.11,0.39,4732,1,0,Shmi7y,5,12,4.17,0.39,0,1,daoxinsomok1ng,4,429,1.48,0.64,0,1,QianBenYing1,5,111,2.11,0.64
0,0,난 숙제할것이요,4,360,4.0,0.93,4733,0,0,Shmi7y,5,526,2.0,0.93,1,1,benbendexiaohai,4,895,1.67,0.76,1,1,벌레12345,5,111,3.3,0.76
1,0,인생걸고태호시티,4,119,1.57,0.35,4734,1,0,Shmi7y,5,53,1.4,0.35,0,1,Chemical Cookie,4,145,1.32,0.76,0,1,머하는지모르게따,5,12,3.67,0.76
1,0,많이늙어버린사람,4,236,0.6,0.48,4735,1,0,Shmi7y,5,111,2.33,0.48,0,1,아직조금더,4,429,3.5,0.21,0,1,내알빠노게이야,5,12,1.2,0.21
0,0,비호감 원딜러,4,145,12.0,0.23,4736,0,0,mi yun bu yu,5,526,8.0,0.23,1,1,Falling cold,4,81,0.52,0.16,1,1,Shmi7y,5,53,7.0,0.16
0,0,Daydreamer d,4,115,1.5,0.23,4737,0,0,Shmi7y,5,111,1.8,0.23,1,1,제 로,4,145,0.67,0.21,1,1,Amadeus1,5,432,2.2,0.21
0,0,DWG Lia,4,69,1.75,0.51,4738,0,0,real gankster,5,74,5.07,0.51,1,1,뚱땡뚱땡뚱,4,523,3.33,0.27,1,1,Shmi7y,5,53,0.75,0.27
1,0,한겨울의해바라기,4,145,1.75,0.52,4739,1,0,help me pls z,5,12,0.78,0.52,0,1,1게임 2담배,4,222,12.0,0.43,0,1,Shmi7y,5,201,5.0,0.43
1,0,추 이,4,145,10.0,0.52,4740,1,0,리퀴드 코어장전,5,497,0.78,0.52,0,1,Noob piss off,4,110,4.24,0.6,0,1,Shmi7y,5,53,2.67,0.6
1,0,Rifle,4,498,4.0,0.4,4741,1,0,Shmi7y,5,12,2.75,0.4,0,1,Run il,4,429,16.0,0.43,0,1,LoveStarGram,5,412,2.75,0.43
0,0,텔레포트이즈,4,81,0.8,0.53,4742,0,0,Shmi7y,5,16,5.0,0.53,1,1,김경비,4,15,13.0,0.27,1,1,고연바,5,432,4.0,0.27
0,0,jia x1ang di,4,236,1.67,0.11,4743,0,0,Shmi7y,5,235,1.0,0.11,1,1,dye7,4,15,8.0,0.15,1,1,cold world,5,497,6.0,0.15
1,0,qacewdqfaa,4,498,23.0,0.36,4744,1,0,Shmi7y,5,235,1.62,0.36,0,1,세미제로,4,145,6.5,0.53,0,1,스나킹,5,201,4.4,0.53
1,0,청주 곽소연,4,81,4.81,1.0,4745,1,0,Shmi7y,5,235,3.0,1.0,0,1,슈슈파나,4,15,2.0,0.67,0,1,다시는 지지않아,5,117,1.35,0.67
1,0,eunice,4,145,2.36,0.8,4746,1,0,Shmi7y,5,53,4.5,0.8,0,1,거짓 심장,4,15,4.0,0.24,0,1,월요병가,5,101,2.6,0.24
1,0,전설이 될 남자,4,145,21.0,0.49,4747,1,0,Shmi7y,5,53,0.91,0.49,0,1,addong,4,81,0.25,0.61,0,1,Oh0Tech,5,235,2.33,0.61
1,0,옐론드,4,145,3.0,0.53,4749,1,0,황포강을 뛰다,5,12,1.2,0.53,0,1,R1ng my bell,4,429,0.83,0.27,0,1,ntbtd3,5,526,1.71,0.27
